PRINT LIST,WEBSITE,Venues/Locations,Brewery,Beer Name,Style,ABV,Description,Untappd url,Limited Release?,Other Info,
y,,Black Diamond Brewery and Distillery,Black Diamond,Erics English IPA,English IPA,6.3,A traditional English styled IPA that balances caramel malts with floral and fruity hop character. A throwback to the earliest beginnings of the India Pale Ale style.,,,,
y,,Black Diamond Brewery and Distillery,Black Diamond,Diamond Lite,Kolsch,4,Black Diamond Lite is a Kolsch brewed with traditional German Hallertau Mittelfruh hops. Subtle maltiness and mild sweetness with pleasant hoppiness.,,,,
y,,Black Diamond Brewery and Distillery,Black Diamond,Shandy Rush,Shandy,4.5,"Sunshine in a glass. This refreshing shandy combines a crisp Kolsch base with bright lemonade for citrus flavor and easy-drinking refreshment. Light, lively, and dangerously crushable.",,,,
y,,Black Diamond Brewery and Distillery,Black Diamond,Pay Dirt,Brown Ale,5,"Smooth, rich, and easygoing with caramel, toasted malt, and a hint of chocolate. American honey adds warmth and sweetness, rounding out the deep malt character.",,,,
Y,,Casa Nueva,Devil's Kettle,Heathenweizen,Hefeweizen,5.1%,,,,,
Y,,Casa Nueva,Littlefish,Guava Reinheitsgewhat!?,Sour,4.2%,"""Quick-sour"" wheat ale with Guava.",,,,
Y,,Casa Nueva,Constellation,Rotating Kombucha,Kombucha,0.0%,,,,,
Y,,Casa Nueva,Rice Family Brewing,Blonde Stout,Blonde Stout,,,,,,
Y,,Casa Nueva,Weaselboy,Tickle Me IPA,American IPA,,,,,,
Y,,Casa Nueva,Rockmill,White,Belgian Ale,,,,,,
Y,,Casa Nueva,Three Tigers Brewing,Lonesome Suzie,Helles Lager,4.8%,"Crisp, clean with a nice balance between a soft, bready malt character with a subtle, spicy finish.",,,,
Y,,Casa Nueva,Jackie O's,Razz Wheat,Raspberry Wheat Ale,,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Bumbleberry,Honey Blueberry Ale,5.3%,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Bumbleberry Lemonade,Shandy,3.0%,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Hop Thunder Down Under Southern Hemisphere,IPA,6.8%,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Headhunter,IPA,7.5%,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Leafman Lager,Lager,4.8%,,,,,
Y,,Cat's Eye Saloon,Fat Heads,Lime Feeling Good Cerveza,Mexican-Style Lager,4.9%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Christmas Ale,,7.5%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Orange Honey Wheat,Wheat,5.5%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Midwest IPA,IPA,7.0%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Orange & Lime Shandy,Shandy,4.0%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Mexican Lager with Lime,Lager,5.4%,,,,,
Y,,Cat's Eye Saloon,Great Lakes,Independence ,American Double IPA,8.0%,,,,,
Y,,Cat's Eye Saloon,Collision Bend,Lake Erie Sunset ,Wheat,5.6%,,,,,
Y,,Cat's Eye Saloon,Collision Bend,Brewers Choice,Saison,,,,,,
Y,,Cat's Eye Saloon,Nocterra Brewing,Beta Flash,New England IPA,6.7%,,,,,
Y,,Cat's Eye Saloon,Nocterra Brewing,Carfagna's Bocce Beer,Italian Pilsner,5.2%,,,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Bumble Berry, Honey Blueberry Ale,5.3%,"Brewed with spring honey and infused with fresh blueberry puree. Light, refreshing ale. ",,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Head Hunter ,West Coast IPA ,7.5%,"Award Winning, agrressively dry hopped, west coast style IPA with a huge hop display of pine, grapefruit, citrus, and pineapple. ",,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Leaf Man Lager,American Lager,4.8%,"A full bodied, American craft lager benefitting Cleveland Metroparks Trails Fund. ",,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Lime Feelin' Good,Lime Cerveza,4.9%,Lightly hopped lager fermented with Mexican style lager yeast for authenticity and infused with dehydrated pulvarized limes. ,,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Bumble Berry Lemonade Shandy,Blueberry Lemon Shandy,3.0%,A bright twist on everyone's favorite Bumble Berry! ,,,,
y,,Cat's Eye Saloon,Fat Head's Brewery,Kiwi Breeze,Southern Hemisphere Extra Pale Ale,5.5%,"Southern-hemisphere hop Galaxy of the Nectar delivers citrus, white wine, and peach flavors.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,Kelly's Dry,Cider,6.7%,"Crisp, refreshing, dry cider.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,All Ohio,Cider,6.2%,"Ohio harvest driven varieties, semisweet, never too sweet.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,Peach Melba,Cider,6.3%,"Red Raspberries and peaches with a hint of vanilla, semisweet.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,Tart Cherry Cider,Cider,6.3%,"Cherry infused cider, tart and refreshing, semisweet.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,Roxbury,Cider,7.5%,"Single variety dry cider from 2024 harvest, one of the OG American varieties, bitter-sharp apple.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,Rosa,Cider,6.2%,"Rosehips + hibiscus tea blend steeped in cider, semidry.",,,,
y,,Ciderhouse MFG,West End Ciderhouse,BBA Goldrush,Cider,8.7%,Goldrush Dry aged 3 Years in 1st Gen Buffalo Trace barrel. 100% Goldrush apples      ,Single variety imperial dry cider aged in bourbon barrel.,,,
y,,Ciderhouse MFG,West End Ciderhouse,Blueberry,Cider,6.1%,,"Semisweet, infused with blueberries.",,,
y,,Ciderhouse MFG,West End Ciderhouse,Zingiber,Cider,6.9%,,"Cider seasoned with fresh squeezed ginger root and lemons, semidry, year round favorite.",,,
y,,Ciderhouse MFG,West End Ciderhouse,Breakfast,Cider,6.4%,,"Irish Breakfast Tea infused cider, thirst quenching, semidry.",,,
y,,Ciderhouse MFG,West End Ciderhouse,Plum,Cider,7.2%,,"Plums offer a hint of fruity complexity, semisweet.",,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Tart Cherry Cider,Cider,6.3%,"Cherry infused cider, tart and refreshing, semidry.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Melomel,Mead,14.2%,Dry mead aged with Montmorency cherries. Rich and warming.,,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Zingiber,Cider,6.9%,"Cider seasoned with fresh squeezed ginger root and lemons, semidry, year round favorite.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Peach Melba,Cider,6.3%,"Red Raspberries and peaches with a hint of vanilla, semisweet.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Kelly's Dry,Cider,6.7%,Crisp and refreshing dry cider. ,,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,All Ohio,Cider,6.2%,"Ohio harvest driven varieties, semisweet, never too sweet.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Blackberry,Cider,7.0%,"Blackberry infused cider, semidry.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Aged Mead,Mead,13.5%,"Dry honey wine, aged in Elijah Craid bourbon barrel.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Roxbury,Cider,7.5%,"Single variety dry cider from 2024 harvest, one of the OG American varieties, bitter-sharp apple.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,5 Star Strawberry,Cider,6.5%,"Strawberry infused cider, semisweet, a seasonal pairing you won't want to miss.",,,,
Y,,Ciderhouse Tavern,West End Ciderhouse,Blue Lemon,Cider,6.0%,"Blueberries and fresh lemon juice, light and refreshing, semidry.",,,,
Y,,Ciderhouse Tavern,Appalachian Artisan Ales,The Path Back,Imperial Coffee Stout,12.5%,"Conditioned on fresh beans from Brew X Coffee Roasting in Montana, owned and operated by a Southern Ohio native now in Hamilton, MT",,,,
Y,,Ciderhouse Tavern,Appalachian Artisan Ales,Doc B's Elixir,Hard Seltzer,4.0%,Blueberry Pomegranate hard seltzer,,,,
Y,,Courtside Pizza,Columbus Brewing Company,Peach Bodhi,Double IPA,7.80%,"A fresh, juicy burst of peach to the classic Bodhi profile. Smooth, vibrant, and fruit-forward",,,,
Y,   ,Courtside Pizza,Columbus Brewing Company,Ohio Light Lime,Lager,4.20%,"Fresh squeeze of lime, low calorie, and delivers a crisp, refreshing flavor",,,,
Y,,Courtside Pizza,50 West Brewing Company,Rainbow Road,Summer IPA,5.80%,Summer IPA full of subtle lemon and strawberry flavors ,,,,
Y,,Courtside Pizza,50 West Brewing Company,Coast to Coast,IPA,6.80%,Infused with blood oranges and hopped with Azacca and Centenial hops,,,,
Y,,Courtside Pizza,50 West Brewing Company,Doom Pedal,White Ale,5.50%,Belgium style white ale,,,,
Y,,Courtside Pizza,50 West Brewing Company,Surfin' USA,Tropical Sour Ale,6.30%,"Tropical sour stacked w/ pink guava, pineapple, and mango",,,,
Y,,Devil's Kettle,Devil's Kettle,Helles Awaits,Munich Helles Lager,5.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Galatea Dunkel,Munich Dunkel Lager,5.2%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Dark Intentions,Black Pilsner,6.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Truck Wreck,Doppelbock,7.7%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Heathenweizen,Hefeweizen,5.1%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Anchor's Away,Amber Steam Beer,5.7%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Gen Zed,English Mild Ale,3.8%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Spider Silk,Imperial Blonde,7.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Ava's Maple Amber,Amber w/ Local Maple Syrup,6.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Pawpaw Passion Fruit,Pilsner with Fruit,5.2%,,,,,
